1.45_percent,,1_percent,,0.5_percent,,0.25_percent,
X,Y,X,Y,X,Y,X,Y
2.375776397515528,0.7129629629629629,2.0652173913043477,0.6527777777777778,2.0745341614906834,0.004629629629629761,2.0652173913043477,-0.5972222222222223
2.5527950310559007,0.5416666666666666,2.375776397515528,0.3935185185185185,2.3695652173913047,-0.2407407407407407,2.37888198757764,-0.75
2.670807453416149,0.44907407407407407,2.549689440993789,0.26388888888888906,2.546583850931677,-0.4351851851851851,2.5527950310559007,-0.8425925925925926
2.770186335403727,0.3657407407407407,2.6770186335403725,0.18518518518518512,2.6770186335403725,-0.5138888888888888,2.6770186335403725,-0.8703703703703702
2.8260869565217392,0.3148148148148149,2.770186335403727,0.11111111111111116,2.7639751552795033,-0.5787037037037035,2.767080745341615,-0.9629629629629632
2.9937888198757765,0.18055555555555536,2.8354037267080745,0.05092592592592582,2.829192546583851,-0.5833333333333333,2.8105590062111805,-1.009259259259259
3.124223602484472,0.07870370370370372,3.0031055900621118,-0.11111111111111094,2.9968944099378882,-0.708333333333333,2.987577639751553,-1.0879629629629632
3.2142857142857144,0.009259259259259078,3.1304347826086953,-0.18055555555555558,3.12111801242236,-0.7314814814814814,3.1180124223602483,-1.1157407407407405
3.2981366459627326,-0.07407407407407418,3.229813664596273,-0.29166666666666674,3.217391304347826,-0.800925925925926,3.2142857142857144,-1.175925925925926
3.3633540372670807,-0.12962962962962976,3.316770186335404,-0.3240740740740742,3.3012422360248443,-0.8796296296296293,3.2888198757763973,-1.240740740740741
3.413043478260869,-0.17129629629629628,3.375776397515528,-0.3657407407407409,3.3633540372670807,-0.9027777777777777,3.3571428571428568,-1.2546296296296298
3.468944099378882,-0.19444444444444442,3.4285714285714284,-0.412037037037037,3.4285714285714284,-0.9444444444444442,3.4161490683229814,-1.2777777777777777
3.5186335403726705,-0.2407407407407407,3.4782608695652177,-0.4722222222222223,3.4813664596273295,-0.949074074074074,3.4658385093167703,-1.3101851851851851
3.559006211180124,-0.2777777777777779,3.531055900621118,-0.47685185185185186,3.5248447204968945,-0.925925925925926,3.5155279503105588,-1.2592592592592595
3.5900621118012426,-0.3055555555555556,3.562111801242236,-0.5138888888888888,3.5559006211180124,-1.0046296296296298,3.549689440993789,-1.3379629629629628
3.6304347826086953,-0.3194444444444444,3.6055900621118013,-0.5324074074074074,3.596273291925466,-1.0046296296296298,3.583850931677019,-1.3148148148148149
3.6521739130434785,-0.3333333333333335,3.6397515527950315,-0.5833333333333333,3.636645962732919,-0.9814814814814818,3.6273291925465836,-1.3148148148148149
3.6863354037267078,-0.3657407407407409,3.6739130434782608,-0.6064814814814814,3.6677018633540373,-1.0462962962962963,3.6521739130434785,-1.3472222222222223
3.8105590062111805,-0.46759259259259256,3.704968944099379,-0.6296296296296295,3.7018633540372674,-1.0462962962962963,3.6925465838509313,-1.3472222222222223
3.987577639751553,-0.5787037037037035,3.9968944099378882,-0.75,3.8198757763975157,-1.0509259259259256,3.8074534161490687,-1.3472222222222223
4.111801242236025,-0.6574074074074074,4.127329192546584,-0.8379629629629628,3.9937888198757765,-1.1481481481481484,3.987577639751553,-1.4814814814814814
4.208074534161491,-0.7407407407407409,4.211180124223603,-0.916666666666667,4.124223602484472,-1.2129629629629632,4.108695652173913,-1.5185185185185186
4.288819875776397,-0.7824074074074074,4.298136645962733,-0.9537037037037037,4.22360248447205,-1.273148148148148,4.208074534161491,-1.5555555555555558
4.354037267080745,-0.8333333333333335,4.366459627329193,-0.9722222222222223,4.295031055900622,-1.2962962962962963,4.282608695652174,-1.5972222222222223
4.409937888198757,-0.8194444444444442,4.425465838509317,-1.0509259259259256,4.350931677018633,-1.3425925925925926,4.350931677018633,-1.615740740740741
4.46583850931677,-0.875,4.4689440993788825,-1.0833333333333335,4.416149068322982,-1.2962962962962963,4.422360248447205,-1.5833333333333335
4.503105590062112,-0.8981481481481484,4.521739130434782,-1.0879629629629632,4.4689440993788825,-1.3379629629629628,4.459627329192546,-1.5787037037037037
4.546583850931677,-0.9120370370370372,4.559006211180124,-1.1388888888888888,4.503105590062112,-1.3935185185185182,4.503105590062112,-1.6481481481481484
4.583850931677018,-0.9305555555555554,4.593167701863353,-1.1388888888888888,4.555900621118012,-1.3796296296296298,4.549689440993789,-1.6064814814814818
4.62111801242236,-0.9953703703703702,4.633540372670807,-1.1481481481481484,4.580745341614907,-1.4027777777777777,4.580745341614907,-1.666666666666667
4.649068322981366,-1.0370370370370372,4.661490683229814,-1.1481481481481484,4.639751552795031,-1.4629629629629628,4.62111801242236,-1.7222222222222223
4.686335403726708,-0.9907407407407405,4.692546583850932,-1.2083333333333335,4.6521739130434785,-1.4861111111111112,4.658385093167701,-1.7916666666666665
2.0683229813664594,1.0046296296296295,,,4.6894409937888195,-1.4398148148148149,4.683229813664596,-1.6712962962962963
